method,threshold,precision,recall,f1,event_precision,event_recall,event_f1,delay,false_alarms_per_1000
TranAD,4.564687252044678,0.15958976924520044,0.4072123823200894,0.22931080959654956,0.14876701253200378,0.6638733705772812,0.2430655923409907,0.7966339410939691,73.92311204255296
TranAD,4.781567573547363,0.1651827242524917,0.39668102760491464,0.23324107519819862,0.15866296890964823,0.6527001862197392,0.2552724971520048,0.797432239657632,69.1100513209789
TranAD,5.0442705154418945,0.17058656843298384,0.38423488112334453,0.23627532747878133,0.1641398514851485,0.6340782122905028,0.2607746136513989,0.8105726872246696,64.4015027750733
TranAD,5.354757804870601,0.17622483858716292,0.37019307483644487,0.23878139151914368,0.16452686638135997,0.61731843575419,0.2598096260645464,0.8763197586726998,59.654449743395105
TranAD,5.682699241638183,0.18085889570552147,0.35280038295835325,0.2391304347826087,0.1654795428192811,0.5986964618249534,0.25929109573765763,0.8864696734059098,55.08341721810591
TranAD,6.012650966644287,0.18883778524677164,0.34067336843784907,0.24298639959028054,0.17835450027609057,0.5828677839851024,0.27313202592483526,0.9057507987220448,50.44637700292084
TranAD,6.249146461486816,0.20198420342901174,0.33460986117759695,0.2519070214427293,0.18036185450433473,0.5735567970204841,0.2744268691720391,0.9107142857142857,45.57280923227556
TranAD,6.57291841506958,0.21426300731164566,0.32264241263762566,0.2575140091696383,0.1874368814380933,0.5614525139664804,0.28104793295037195,0.9502487562189055,40.78725171482478
TranAD,6.95166188716888,0.228287841191067,0.30828147438966014,0.26232179226069247,0.1976284584980237,0.5484171322160148,0.29055283967304174,1.0101867572156198,35.92468522582881
TranAD,7.52036720275875,0.24059550711152466,0.2888144247646402,0.2625090645395214,0.2025586353944563,0.515828677839851,0.2908891934913336,1.0342960288808665,31.425161031260142
TranAD,8.046150207519531,0.2597461468721668,0.2742939205361417,0.2668218859138533,0.20547601105249938,0.5018621973929237,0.2915737936594065,1.098330241187384,26.9476393999901
TranAD,8.854348182678223,0.27866549604916596,0.2532312111057922,0.2653402441063367,0.2129655172413793,0.48417132216014896,0.29581508315009464,1.1884615384615385,22.596632507687147
